ID,title,category,core_skills,further_skills,letter
94380,"Abfall-, Entsorgungstechnik (grundständig)",Studienfach,,,A
93943,"Abfall-, Entsorgungstechnik (weiterführend)",Studienfach,,,A
8202,Abfallbeauftragte/r,Berufliche Einsatzmöglichkeit,"['Abfallberatung', 'Abfalldeklarierung', 'Abfallrecht', 'Abfalltrennung', 'Entsorgung', 'Gewerbe-, Industriemüll', 'Sondermüll', 'Überwachungsaufgaben']","['Arbeitsschutz, Unfallverhütung', 'Deponietechnik', 'Dokumentation (technisch)', 'Gefahrenabwehr (Prävention)', 'Gefahrguttransportrecht', 'Gefahrgutverladung, -versendung, -transport', 'Kundenberatung, -betreuung', 'Recycling', 'Umweltaudit', 'Umweltmanagement', 'Umweltrecht', 'Umweltschutz, Umwelttechnik']",A
10154,Abfallberater/in,Berufliche Einsatzmöglichkeit,"['Abfallberatung', 'Abfalltrennung', 'Entsorgung', 'Kundenberatung, -betreuung', 'Recycling', 'Umweltberatung']","['Abfalldeklarierung', 'Abfallrecht', 'Deponietechnik', 'Gewässerschutz', 'Gewerbe-, Industriemüll', 'Hausmüll', 'Kompostierung', 'Öffentlichkeitsarbeit, Public Relations', 'Recherche, Informationsbeschaffung', 'Sondermüll', 'Umweltrecht', 'Umweltschutz, Umwelttechnik', 'Unterricht, Schulung (außerschulischer Bereich)', 'Vortragstätigkeit']",A
4710,Abfüller/in,Berufliche Einsatzmöglichkeit,"['Abfüllen', 'Maschinenführung, Anlagenführung, -bedienung']","['Förderanlagen und Transportgeräte bedienen', 'Führerschein Gabelstapler, Flurförderzeuge', 'Lagerwirtschaft', 'Lebensmittelhygiene', 'Palettieren', 'Probenahme', 'Qualitätskontrolle (einfache Kontrolltätigkeit)', 'Reinigen', 'Verpacken', 'Wartung, Reparatur, Instandhaltung']",A
10251,Abwassermeister/in,Meisterweiterbildung,"['Abwassertechnik', 'Arbeitsvorbereitung', 'Betriebsmitteleinsatz planen', 'Kalkulation', 'Kanaluntersuchung, -überwachung', 'Kläranlagenbetrieb', 'Klärschlammbehandlung, -entsorgung', 'Probenahme', 'Qualitätsprüfung, Qualitätssicherung', 'Wartung, Reparatur, Instandhaltung', 'Wasser-, Abwasseruntersuchung']","['Abflusssysteme', 'Ausbildereignungsprüfung', 'Betriebsleitung, Betriebsführung', 'Digitales Wassermanagement', 'Dokumentation (technisch)', 'Faulgasgewinnung', 'Gewässerschutz', 'Grundwasserschutz', 'Indirekteinleiterüberwachung', 'Kanalreinigung', 'Kosten- und Leistungsrechnung', 'Kundenberatung, -betreuung', 'Laborarbeiten, Labortechnik', 'Maschinenführung, Anlagenführung, -bedienung', 'Mess-, Steuer-, Regeltechnik (MSR)', 'Personalplanung', 'Umweltrecht', 'Umweltschutz, Umwelttechnik', 'Wartungs- und Instandhaltungsroboter', 'Wasserrecht']",A
14475,Account-Manager/in,Berufliche Einsatzmöglichkeit,"['Akquisition', 'Betriebswirtschaftslehre', 'Customer-Relationship-Management (CRM)', 'Kundenberatung, -betreuung', 'Vertriebsmarketing']","['Affiliate-Marketing', 'Angebotsmanagement', 'Auftragsannahme, -bearbeitung', 'Controlling', 'Kalkulation', 'Konzeption (Werbung, Marketing, PR)', 'Kosten- und Leistungsrechnung', 'Marketing', 'Marktforschung', 'Onlinemarketing', 'Präsentation', 'Verhandlungsführung', 'Verkaufsförderung', 'Vertragsrecht', 'Vertrieb']",A
15647,Aerobic-Trainer/in,Sonstige Ausbildung,"['Aerobic', 'Didaktik', 'Methodik', 'Sportpädagogik', 'Step-Aerobic', 'Training']","['Choreografie', 'Ernährungsberatung', 'Fitnesstraining', 'Konditionstraining', 'Pilates']",A
132516,Affiliate-Manager/in,Berufliche Einsatzmöglichkeit,"['Affiliate-Marketing', 'Akquisition', 'E-Commerce, E-Business', 'Erfolgskontrolle (Marketing, Werbung)', 'Konzeption (Werbung, Marketing, PR)', 'Kundenberatung, -betreuung', 'Marketing', 'Onlinemarketing', 'Online-Shop-Systeme', 'Vertriebsmarketing', 'Webdesign', 'Werbung']","['Datenschutz', 'Einkauf, Beschaffung', 'Kalkulation', 'Kosten- und Leistungsrechnung', 'Logistik', 'Marktforschung', 'Mobile-Marketing', 'Sicherheitssysteme (IT), Datensicherheit', 'Social-Media-Kommunikation', 'Suchmaschinenwerbung (SEA)', 'Verkaufsförderung']",A
59161,Afrikanist/in,Tätigkeit nach Studium,"['Afrikanistik', 'Fachpublikationen erstellen', 'Forschung', 'Kultur-, Regionalwissenschaften', 'Linguistik, Phonetik', 'Literaturwissenschaften', 'Sprachwissenschaft']","['Afrikaans', 'Akan/Twi (Westafrika)', 'Bambara (Westafrika, Mali)', 'Dolmetschen, Übersetzen', 'Hausa (Westafrika)', 'Interkulturelle Kommunikation', 'Kulturgeografie', 'Kulturgeschichte', 'Lehrtätigkeit (Hochschule)', 'Lektorat', 'Lexikografie', 'Literaturübersetzung', 'Publizistik, Journalistik', 'Recherche, Informationsbeschaffung', 'Redaktion', 'Suaheli (Ostafrika)', 'Unterricht, Schulung (außerschulischer Bereich)']",A
94099,Afrikanistik (grundständig),Studienfach,,,A
94097,Afrikanistik (weiterführend),Studienfach,,,A
133352,Agiler Coach / Scrum Master,Berufliche Einsatzmöglichkeit,"['Agiles Projektmanagement', 'Berichtswesen, Information', 'Coaching', 'Organisationsberatung', 'Projektmanagement- und Entwicklungsmethode Scrum', 'Unternehmensberatung']","['Design Thinking', 'Gruppen-, Teamleitung', 'Moderation', 'Präsentation', 'Projektassistenz', 'Projektmanagement', 'Qualitätsmanagement']",A
59233,Agrarbiologe/-biologin,Tätigkeit nach Studium,"['Agrarbiologie', 'Biotechnologie', 'Bodenkunde', 'Entwicklung', 'Forschung', 'Laborarbeiten, Labortechnik', 'Mikrobiologie', 'Naturschutz', 'Pflanzenphysiologie', 'Pflanzenschutz', 'Pflanzenzucht', 'Tierhaltung, Tierproduktion', 'Umweltschutz, Umwelttechnik', 'Versuchsdurchführung und -auswertung']","['Bakteriologie', 'Biochemie', 'Botanik', 'Enzymologie', 'Fachpublikationen erstellen', 'Gentechnologie', 'Gewässerüberwachung, Abwasserbiologie', 'Gutachter-, Sachverständigentätigkeit', 'Klimawandelanpassung', 'Kundenberatung, -betreuung', 'Lehrtätigkeit (Hochschule)', 'Ökologie', 'Patent- und Markenrecht', 'Phytopathologie (Lehre von den Pflanzenkrankheiten)', 'Projektmanagement', 'Qualitätsmanagement', 'Sachkundenachweis nach Pflanzenschutz-Sachkundeverordnung', 'Toxikologie', 'Virologie', 'Wissenschaftliche Dokumentation']",A
94180,Agrarbiologie (grundständig),Studienfach,,,A
94368,Agrarmanagement (grundständig),Studienfach,,,A
94082,Agrarmanagement (weiterführend),Studienfach,,,A
90071,Agrarservicemeister/in,Meisterweiterbildung,"['Ackerbau', 'Arbeitsvorbereitung', 'Betriebsmitteleinsatz planen', 'Grünlandwirtschaft', 'Kalkulation', 'Kundenberatung, -betreuung', 'Landschaftspflege', 'Maschineneinsatz (Landwirtschaft, Forst, Garten)', 'Personalplanung', 'Wartung, Reparatur, Instandhaltung']","['Ausbildereignungsprüfung', 'Betriebsleitung, Betriebsführung', 'Bodenbearbeitung, Kulturarbeiten', 'Bodenkunde', 'Düngung', 'Erntearbeiten', 'Farm-Management-Systeme', 'Forstwirtschaft', 'Gemüsebau', 'Getreidebau', 'Klimawandelanpassung', 'Kosten- und Leistungsrechnung', 'Naturschutz', 'Ökologischer Anbau, Biologischer Anbau', 'Pflanzenschutz', 'Qualitätsprüfung, Qualitätssicherung', 'Saatzucht', 'Sachkundenachweis nach Pflanzenschutz-Sachkundeverordnung', 'Schädlingsbekämpfung']",A
93756,Agrarwissenschaft (grundständig),Studienfach,,,A
94200,Agrarwissenschaft (weiterführend),Studienfach,,,A
