ID,salary_min,salary_max,letter
94380,,,A
93943,,,A
8202,3831,,A
10154,3928,5013,A
4710,2701,2886,A
10251,3831,,A
14475,3800,4163,A
15647,,,A
132516,,,A
59161,,,A
94099,,,A
94097,,,A
133352,,,A
59233,3782,5798,A
94180,,,A
94368,,,A
94082,,,A
90071,2699,,A
93756,,,A
94200,,,A
58714,3928,6444,A
100520,5314,,A
59533,4604,5819,A
30255,6196,7958,A
29414,5379,5825,A
94216,,,A
93885,,,A
93798,,,A
94177,,,A
93737,,,A
93924,,,A
93863,,,A
93967,,,A
9063,2588,3173,A
9065,2881,3590,A
14640,3314,3812,A
94172,,,A
94234,,,A
100535,,,A
15615,2881,3590,A
13952,2825,3128,A
51027,2944,3256,A
5281,4757,5647,A
94283,,,A
94036,,,A
58681,,,A
93860,,,A
94360,,,A
14509,,,A
27308,,,A
14324,2099,2497,A
6773,3258,,A
29047,3060,3362,A
15164,,,A
2968,3119,3586,A
59169,,,A
7754,4163,4837,A
7070,2639,3301,A
58682,3582,4343,A
27476,2932,3102,A
14991,4604,5819,A
59171,,,A
94355,,,A
94297,,,A
9131,2943,4368,A
94382,,,A
59173,3408,,A
128340,,,A
130772,4323,,A
13982,2859,4476,A
5215,4604,5819,A
14801,3362,3960,A
9765,4560,6179,A
67308,3408,,A
6006,3891,4803,A
9791,3928,6444,A
58573,,,A
94306,,,A
94213,,,A
15706,3283,4596,A
93960,,,A
94016,,,A
58685,3782,5798,A
93604,,,A
94174,,,A
28504,,,A
7024,,,A
7023,4664,,A
34754,,,A
5291,4757,5647,A
58709,4695,6035,A
90902,,,A
8945,2088,2412,A
4303,,,A
15018,3504,3800,A
27268,,,A
28630,2495,2725,A
14616,2706,3068,A
27411,2065,2760,A
9996,2477,,A
67663,3135,3646,A
7850,2639,3301,A
7848,3135,3646,A
7743,3135,3646,A
7798,3135,3646,A
8564,2495,2725,A
67112,2827,3332,A
14532,3060,3362,A
7020,2395,2849,A
15011,3504,3800,A
27458,,,A
15424,,,A
28863,3866,4299,A
27350,,,A
14497,3060,3362,A
111614,,,A
34928,2728,2961,A
15014,3504,3800,A
14763,4695,6035,A
8702,4695,6035,A
8634,,,A
93929,,,A
59535,4560,6179,A
9599,2944,3256,A
8782,2859,4476,A
10181,280,,A
120098,,,A
120099,,,A
8526,2820,3159,A
59038,,,A
15462,,,A
27427,2187,,A
820,,,A
821,,,A
822,,,A
819,2187,,A
8517,3176,3404,A
130025,3687,6444,A
27385,3504,3800,A
14338,3060,3362,A
93766,,,A
93993,,,A
2634,2160,2360,A
2635,2560,2710,A
2631,2160,2360,A
2630,2160,2360,A
2636,2560,2710,A
7085,,,A
77111,3960,5341,A
132718,,,A
132717,,,A
132719,,,A
132721,,,A
132723,,,A
132724,,,A
126840,4602,5054,A
4003,,,A
9673,3960,5341,A
27469,2825,3128,A
