letter,ID
A,94380
A,93943
A,8202
A,10154
A,4710
A,10251
A,14475
A,15647
A,132516
A,59161
A,94099
A,94097
A,133352
A,59233
A,94180
A,94368
A,94082
A,90071
A,93756
A,94200
A,58714
A,100520
A,59533
A,30255
A,29414
A,94216
A,93885
A,93798
A,94177
A,93737
A,93924
A,93863
A,93967
A,9063
A,9065
A,14640
A,94172
A,94234
A,100535
A,15615
A,13952
A,51027
A,5281
A,94283
A,94036
A,58681
A,93860
A,94360
A,14509
A,27308
A,14324
A,6773
A,29047
A,15164
A,2968
A,59169
A,7754
A,7070
A,58682
A,27476
A,14991
A,59171
A,94355
A,94297
A,9131
A,94382
A,59173
A,128340
A,130772
A,13982
A,5215
A,14801
A,9765
A,67308
A,6006
A,9791
A,58573
A,94306
A,94213
A,15706
A,93960
A,94016
A,58685
A,93604
A,94174
A,28504
A,7024
A,7023
A,34754
A,5291
A,58709
A,90902
A,8945
A,4303
A,15018
A,27268
A,28630
A,14616
A,27411
A,9996
A,67663
A,7850
A,7848
A,7743
A,7798
A,8564
A,67112
A,14532
A,7020
A,15011
A,27458
A,15424
A,28863
A,27350
A,14497
A,111614
A,34928
A,15014
A,14763
A,8702
A,8634
A,93929
A,59535
A,9599
A,8782
A,10181
A,120098
A,120099
A,8526
A,59038
A,15462
A,27427
A,820
A,821
A,822
A,819
A,8517
A,130025
A,27385
A,14338
A,93766
A,93993
A,2634
A,2635
A,2631
A,2630
A,2636
A,7085
A,77111
A,132718
A,132717
A,132719
A,132721
A,132723
A,132724
A,126840
A,4003
A,9673
A,27469
A,9634
A,9152
A,6093
A,14645
A,6727
A,7172
A,6876
A,6728
A,14050
A,14198
A,77951
A,93864
A,93755
A,59039
A,4474
A,2068
A,15609
A,126837
A,126835
A,94202
A,94277
A,35326
A,6622
A,94264
A,93777
A,59163
A,93856
A,93913
A,33209
B,8109
B,3626
B,3657
B,3641
B,3629
B,4812
B,8393
B,59175
B,93750
B,93833
B,94194
B,10022
B,10023
